,0
"('energi',)",5163
"('build',)",2291
"('develop',)",1895
"('system',)",1629
"('technolog',)",1407
"('effici',)",1364
"('use',)",1331
"('market',)",1109
"('solut',)",1104
"('innov',)",1083
"('new',)",1064
"('research',)",970
"('integr',)",944
"('smart',)",910
"('base',)",855
"('eu',)",834
"('cost',)",830
"('product',)",808
"('provid',)",802
"('commun',)",801
"('heat',)",787
"('industri',)",773
"('model',)",765
"('data',)",745
"('european',)",738
"('design',)",724
"('process',)",724
"('increas',)",692
"('high',)",684
"('climat',)",681
"('sustain',)",677
"('support',)",673
"('manag',)",663
"('gener',)",636
"('materi',)",630
"('electr',)",613
"('power',)",608
"('citi',)",607
"('perform',)",599
"('consumpt',)",597
"('implement',)",584
"('need',)",582
"('servic',)",572
"('network',)",570
"('demonstr',)",569
"('oper',)",556
"('level',)",553
"('improv',)",546
"('reduc',)",545
"('user',)",542
"('activ',)",536
"('impact',)",532
"('europ',)",531
"('sector',)",531
"('applic',)",529
"('approach',)",523
"('low',)",521
"('busi',)",517
"('includ',)",516
"('chang',)",513
"('potenti',)",512
"('enabl',)",512
"('also',)",506
"('differ',)",505
"('polici',)",501
"('local',)",500
"('object',)",495
"('renew',)",492
"('well',)",484
"('plan',)",479
"('water',)",475
"('tool',)",475
"('requir',)",469
"('scale',)",464
"('demand',)",461
"('current',)",458
"('challeng',)",455
"('result',)",455
"('time',)",452
"('effect',)",450
"('urban',)",448
"('exist',)",436
"('control',)",435
"('make',)",428
"('propos',)",427
"('stakehold',)",424
"('target',)",419
"('public',)",409
"('year',)",404
"('emiss',)",403
"('grid',)",403
"('combin',)",394
"('save',)",388
"('storag',)",382
"('creat',)",377
"('key',)",375
"('invest',)",374
"('econom',)",373
"('allow',)",369
"('larg',)",368
"('work',)",367
"('address',)",367
"('one',)",367
"('area',)",367
"('environment',)",367
"('platform',)",361
"('optim',)",359
"('contribut',)",354
"('thermal',)",350
"('advanc',)",349
"('strategi',)",348
"('solar',)",341
"('futur',)",337
"('concept',)",335
"('consum',)",335
"('renov',)",333
"('end',)",330
"('global',)",329
"('construct',)",328
"('region',)",328
"('knowledg',)",327
"('sourc',)",325
"('environ',)",323
"('structur',)",322
"('train',)",322
"('partner',)",322
"('resourc',)",316
"('action',)",315
"('set',)",312
"('countri',)",311
"('reduct',)",310
"('carbon',)",309
"('valu',)",308
"('social',)",305
"('main',)",304
"('within',)",298
"('devic',)",297
"('novel',)",297
"('assess',)",296
"('test',)",294
"('compani',)",291
"('infrastructur',)",291
"('studi',)",291
"('exploit',)",288
"('commerci',)",286
"('term',)",285
"('lead',)",285
"('benefit',)",284
"('technic',)",284
"('specif',)",284
"('toward',)",283
"('offer',)",283
"('framework',)",281
"('qualiti',)",281
"('two',)",280
"('capac',)",280
"('real',)",273
"('flexibl',)",272
"('inform',)",272
"('valid',)",272
"('practic',)",271
"('enhanc',)",269
"('involv',)",266
"('mobil',)",265
"('way',)",261
"('produc',)",261
"('transport',)",260
"('instal',)",259
"('monitor',)",256
"('relat',)",256
"('order',)",255
"('wast',)",254
"('cool',)",252
"('field',)",252
"('across',)",251
"('ensur',)",249
"('deploy',)",248
"('transit',)",247
"('nation',)",246
"('measur',)",245
"('open',)",243
"('condit',)",243
"('multi',)",241
"('pilot',)",241
"('first',)",241
"('opportun',)",238
"('consortium',)",237
"('secur',)",237
"('distribut',)",236
"('avail',)",234
"('manufactur',)",233
"('goal',)",231
"('life',)",230
"('bring',)",229
"('financi',)",229
"('suppli',)",228
"('non',)",227
"('connect',)",225
"('state',)",224
"('initi',)",222
"('fuel',)",221
"('addit',)",221
